session_id,user_id,temp1,temp2,bpm1,bpm2,spo2_1,spo2_2,mpu1_acc_x,mpu1_acc_y,mpu1_acc_z,mpu2_acc_x,mpu2_acc_y,mpu2_acc_z,mpu1_gyr_x,mpu1_gyr_y,mpu1_gyr_z,mpu2_gyr_x,mpu2_gyr_y,mpu2_gyr_z,fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,fsr_6,fsr_7,fsr_8,fsr_9,fsr_10,fsr_11,fsr_12,stress_level,posture_level,timestamp
29,2,36.4,36.84,62,65,96,96,-1.121,-1.543,-0.575,0.915,0.261,1.676,-191.256,-8.591,40.102,70.046,124.509,85.957,54.33,89.57,47.98,27.82,59.24,76.1,74.9,87.6,17.83,68.79,31.62,21.26,2,2,23/2/2026 11:52
30,2,35.95,35.85,66,68,97,94,0.289,1.536,0.781,0.753,1.69,-0.839,-103.108,237.404,-169.463,-20.828,-1.8,-165.639,13,61.36,59.77,32.82,49.51,87.42,11.13,41.97,76.64,32.83,73.25,66.34,2,2,23/2/2026 11:53
31,3,37.18,36.2,93,106,96,99,-0.813,0.929,1.263,-1.504,0.279,0.923,204.958,-16.31,112.706,171.757,-18.032,-146.408,64.76,20.14,76.82,56.16,69.75,13.54,22.26,62.32,33.26,52.47,47.92,13.76,2,2,23/2/2026 11:54
32,3,37.17,36.07,92,69,96,100,-1.227,-1.417,0.992,1.523,-0.344,-0.143,-185.417,-102.371,-1.024,-58.474,6.285,-180.176,11.18,38.79,74.62,24.28,15.09,38.8,77.43,51.21,45.82,87.3,45.52,68.64,2,2,23/2/2026 11:55
33,3,36.46,37.35,79,80,100,100,-1.131,-1.2,-0.396,-1.971,-1.982,1.813,-45.9,-99.251,-99.727,72.402,-76.326,168.555,60.51,27.78,45.96,42.05,22.84,83.43,56.03,60.16,29.05,72.89,40.38,14.06,2,2,23/2/2026 11:56
34,3,36.75,36.67,73,110,98,100,-1.766,1.913,-0.666,0.538,0.212,0.615,-52.873,-144.935,141.391,0.439,-243.715,-211.951,24.5,21.07,65.71,72.62,33.78,22.24,79.08,89.29,81.19,15.11,19.17,28.81,2,2,23/2/2026 11:57
35,3,35.6,35.6,108,86,99,95,1.317,-1.157,-0.69,-0.688,0.612,-0.806,-149.14,1.645,-12.098,185.352,156.64,163.435,43.91,81.56,83.83,85.37,73.49,83.01,73.23,64.73,15.33,42.35,19.98,70.37,2,3,23/2/2026 11:58
36,3,35.84,36.14,69,109,97,94,-0.511,-0.628,1.056,1.064,-1.907,-1.227,249.129,35.113,229.979,124.725,-228.254,20.562,82.22,41.42,82.59,17.71,68.45,10.65,84.04,88.9,72.5,38.2,37.62,55,2,2,23/2/2026 11:59
37,3,36.7,35.69,79,80,99,94,-0.625,-0.676,-1.722,-1.09,1.469,0.913,228.85,129.626,-102.218,79.817,-144.857,-244.501,39.74,57.43,21.81,14.45,62.45,88.27,47.68,73.73,13.22,46.13,20.08,62.39,2,2,23/2/2026 12:00
38,3,35.65,35.52,93,66,99,95,1.242,1.059,-0.329,-1.201,-1.35,-0.369,221.039,-4.161,-9.311,126.462,-90.275,-66.824,86.19,43.38,18.46,66.32,70.88,52.33,76.03,29.24,13.36,40.4,32.05,40.49,2,2,23/2/2026 12:01
39,3,36.15,36.02,62,63,97,95,-1.142,0.482,-0.184,-1.252,1.911,-1.474,-34.441,-247.68,105.94,-243.517,-59.134,-213.62,87.55,40.29,67.4,34.17,83.79,32.84,55.39,82.12,86.73,83.99,49.68,80.11,2,3,23/2/2026 12:02
40,3,37.37,37.44,80,91,98,98,-0.044,1.752,-1.481,-0.379,-0.655,-1.142,109.099,-26.169,-135.095,73.181,85.393,161.998,83.75,59.22,38.27,61.08,16.44,76.45,64.38,28.17,37.92,85.2,27.47,29.37,2,2,23/2/2026 12:03
41,3,37.43,35.56,88,92,96,98,1.781,0.03,0.866,1.269,-1.318,-0.707,145.12,-130.185,231.399,-57.29,62.76,101.887,75.33,50.51,16.69,61.7,81.75,63.74,78.76,81.72,74.05,43.72,43.14,83.23,2,3,23/2/2026 12:04
42,3,36.13,37.23,61,107,97,96,-1.473,-0.99,-1.968,-1.961,-1.667,0.34,-246.375,-232.799,153.237,-121.324,-162.338,-43.69,32,71.33,45.73,53.65,35.15,82.52,41.56,66.84,26.09,11.13,20.3,22.19,2,2,23/2/2026 12:05
43,3,36.59,36.35,70,81,96,94,-1.789,0.766,1.631,-0.672,1.204,-1.099,1.354,111.462,-82.92,110.851,99.256,-60,76.3,49,81.36,16.04,69.51,67.64,12.44,61.41,31.57,31.89,87.76,50.45,2,2,23/2/2026 12:06
44,3,36.09,36.07,100,73,100,100,1.717,0.993,0.545,0.697,1.243,1.178,-42.627,-173.663,167.566,-28.533,173.635,-233.917,70.33,70.4,60.29,30.04,44.62,34.71,50.39,80.96,82.27,75.77,29.77,40.05,2,2,23/2/2026 12:07
45,3,35.64,35.94,100,96,99,98,-0.758,1.509,-1.668,0.808,-1.587,-0.281,-89.281,215.386,-101.384,101.547,108.868,-177.835,77.86,22.08,75.15,40.54,82.15,12.59,77.13,38.63,78.91,84.56,83.12,28.27,2,2,23/2/2026 12:08
46,4,37.4,36.64,97,99,95,99,0.423,0.77,-0.591,-1.056,0.231,0.491,-235.095,-55.395,141.318,-25.184,218.155,100.022,45.12,86.06,38.85,34.48,11.71,82.68,13.93,88.85,33.57,60.66,40.77,24.7,2,2,23/2/2026 12:09
47,4,37.16,36.46,109,91,95,98,0.092,-1.714,1.34,1.341,-1.302,-0.058,-201.324,-142.54,-59.552,18.787,206.909,-240.386,71.85,52.69,41.11,20.12,32.77,11.91,50.94,16.04,14.13,22.86,72.42,10.6,2,2,23/2/2026 12:10
48,4,35.83,36.5,86,68,96,100,0.129,-1.604,0.72,-0.125,-1.897,-0.78,-71.334,30.673,38.02,-205.723,220.623,166.513,47.12,68.97,16.56,33.63,12.86,31.82,85.1,79.44,62.74,77.56,14.33,38.47,2,2,23/2/2026 12:11
49,4,36.36,36.48,88,60,96,99,-0.462,0.496,1.672,-0.166,-0.385,1.541,-33.961,93.286,120.844,-25.446,56.461,99.235,60.49,12.27,38.63,13.05,11.36,64.4,23.84,79.19,53.08,81.91,86.38,43.77,2,2,23/2/2026 12:12
50,4,36.01,36.11,61,94,96,96,1.261,1.606,1.852,-0.667,-1.346,0.627,24.817,-31.382,133.633,30.546,-126.726,37.652,34.86,33.34,67.83,66.29,35.95,40.37,58.82,80.23,84.38,52.48,22.81,50.14,2,2,23/2/2026 12:13
51,4,36.39,36.25,92,92,94,98,0.96,-0.112,0.935,0.262,0.834,-0.297,-134.249,-88.901,-118.115,152.718,-142.557,-15.759,12.62,56.98,84.54,86.62,40.19,31.57,51.16,49.03,89.51,86.96,55.83,18.15,2,2,23/2/2026 12:14
52,4,36.78,36.48,84,109,95,94,0.209,-0.062,-1.865,-1.652,0.855,-1.079,188.757,-75.549,103.167,58.369,164.725,-180.291,82.74,65.55,44.96,64.16,42.71,57.98,14.46,63.04,30.34,89.21,51.89,18.92,2,2,23/2/2026 12:15
53,4,35.5,37.5,109,87,97,96,-1.109,0.427,-0.19,0.341,0.951,1.113,175.217,146.83,197.844,27.761,-39.126,73.406,37.88,81.03,73.24,56.08,78.87,26.66,89.52,83.44,56.14,68.26,10.15,73.92,2,3,23/2/2026 12:16
54,4,35.88,36.68,82,70,95,95,-1.128,-1.434,-1.804,-1.475,-0.658,0.461,152.199,128.326,155.205,-25.444,192.222,67.905,34.75,35.87,50.55,10.34,16.54,40.04,22.26,62.91,45.64,69.54,53.2,87.8,2,2,23/2/2026 12:17
55,4,36.06,36.77,73,70,97,94,0.393,-0.29,-1.006,-0.832,0.157,1.202,-204.167,-116.262,-39.036,-217.573,-111.128,-100.535,58.64,86.16,43.9,42.51,86.82,83.43,17.23,25.55,44.52,76.73,32.47,64.76,2,2,23/2/2026 12:18
56,4,37.1,35.75,83,76,97,94,0.558,1.158,0.752,-1.284,0.775,-1.512,-142.895,98.985,21.175,-130.185,37.635,-225.859,47.56,60.04,27.95,81.89,48.61,25.62,48.06,43.23,17.57,84.25,88.6,44.37,2,2,23/2/2026 12:19
57,4,36.28,35.75,73,76,100,100,0.723,1.607,1.112,1.36,-1.278,1.875,38.434,-25.657,-25.215,-55.89,24.913,-5.814,31.95,46.85,15.49,56.73,62.96,48.88,55.85,70.11,52.47,39.08,39.34,84.89,2,2,23/2/2026 12:20
58,4,35.93,37.07,65,69,97,99,1.863,0.154,1.022,-0.9,-0.423,-1.809,-65.763,180.391,-203.044,-56.835,-55.247,158.035,76.26,30.81,19.46,81.7,66.98,14.72,52.29,86.91,63.86,14.48,59.61,69.78,2,2,23/2/2026 12:21
59,4,35.89,35.83,61,81,96,94,0.525,-1.479,-1.566,-0.393,1.49,-0.427,96.822,-247.546,76.768,121.01,69.811,209.865,44.39,64.04,53.45,27.65,52.9,83.87,12.96,86.54,75.89,56.16,12.27,40.19,2,2,23/2/2026 12:22
60,4,36.17,37.25,84,71,94,100,0.779,1.403,1.463,-1.457,-0.563,-1.956,143.518,-135,-184.458,-180.609,-60.949,-172.743,17.87,39.78,15.14,29.58,61.04,79.42,88.62,69.11,11.62,69.24,54.51,68.31,2,2,23/2/2026 12:23
61,5,36.87,36.73,88,60,98,98,-0.547,-0.853,1.57,-1.662,0.904,0.47,24.759,-1.976,-78.347,143.255,-101.4,25.78,13.98,46.7,66.56,41.63,58.91,35.86,78.95,86.59,64.94,37.45,35.06,13.29,2,2,23/2/2026 12:24
62,5,36.75,36.07,71,107,97,98,0.77,-1.152,1.117,0.891,0.028,-1.337,155.007,196.554,21.311,-221.961,248.07,-216.552,16.4,44.13,25.19,81.02,70.31,87.45,60.87,69.05,71.88,35.64,70.03,74.05,2,2,23/2/2026 12:25
63,5,37.47,36.49,100,110,99,100,-1.297,0.928,1.255,-1.678,-1.013,0.667,30.836,-167.316,-157.521,214.747,-99.771,88.395,32.4,49.57,89.03,35.81,28.72,29.01,34.85,85.36,50.68,27.13,88.99,85.33,2,2,23/2/2026 12:26
64,5,36.97,37.12,100,99,95,100,1.394,-0.021,0.368,1.347,-1.395,1.36,175.978,138.356,-244.148,-194.871,-77.477,132.776,84.88,78.43,13.24,38.19,46.34,62.5,28.81,82.09,80.98,49.31,29.57,23.67,2,2,23/2/2026 12:27
65,5,37.15,35.53,67,77,97,94,-1.999,0.86,-1.329,-0.164,-0.485,-0.709,-210.329,-86.698,-230.51,-207.589,232.196,-65.496,74.55,26.33,18.07,71.05,12.8,46.56,72.14,88.56,54.69,83.95,50.04,89.86,2,2,23/2/2026 12:28
66,5,35.94,35.55,84,84,95,96,1.453,-0.446,1.631,-1.163,-0.165,-0.925,-73.73,82.035,-219.722,-63.304,93.45,180.312,14.5,47.06,23.52,56.45,42.5,85.27,14.6,79.65,23.76,45.79,42.68,74.71,2,2,23/2/2026 12:29
67,5,36.35,36.05,71,108,100,99,-1.169,-0.111,1.902,1.638,0.865,-1.746,-157.004,48.678,95.648,-224.055,-226.633,96.421,75.17,17.89,38.09,80.15,24.77,80.79,39.69,54.81,43.25,66.84,38.25,58.77,2,2,23/2/2026 12:30
68,5,35.87,36.39,97,85,96,99,1.804,-0.781,1.311,0.931,-0.673,-0.211,-153.924,-170.247,-239.207,-203.574,-64.3,148.961,41.35,75.99,35.81,50.26,36.44,85.44,67.09,43.32,66.77,52.96,26.98,25.14,2,2,23/2/2026 12:31
69,5,37.41,35.59,69,108,98,95,-1.518,0.364,-0.97,-0.552,0.353,0.996,-24.657,-35.1,-55.825,229.479,160.482,-113.067,44.45,82.8,16.96,62.5,34.05,35.21,60.75,37.64,62.73,14.78,23.27,89.36,2,2,23/2/2026 12:32
70,5,35.98,37.46,82,63,97,99,0.051,-1.814,0.226,1.877,0.469,-1.125,-80.239,79.074,-125.871,149.01,178.387,169.295,63.38,75.13,36.21,35.14,76.19,70.08,61.31,40.9,79.48,76.04,31.31,70.16,2,2,23/2/2026 12:33
71,5,36.19,36.56,93,102,95,97,-0.909,-0.552,1.419,-0.949,-1.412,-1.466,-178.385,-121.959,115.115,120.792,-91.999,145.886,30.49,34.48,18.71,55.93,86.85,28.63,19.05,80.3,28.26,46.1,70.85,33.72,2,2,23/2/2026 12:34
72,5,36.5,37.34,109,79,97,98,-0.748,-1.903,-0.196,-0.624,0.825,1.232,153.185,29.964,-27.614,174.014,-140.872,-82.624,12.2,71.96,64.61,82.91,43.65,15.57,13.79,73.62,52.83,37.92,20.02,55.22,2,2,23/2/2026 12:35
73,5,37.45,36.52,90,73,97,94,-1.648,1.097,1.124,0.658,0.378,-1.08,-63.12,-138.89,-246.878,-136.964,-98.258,62.819,34.58,82.56,65.68,25.61,62.53,65.13,63.05,54.84,61.13,66.77,60.85,22.4,2,2,23/2/2026 12:36
74,5,35.85,36.84,90,75,94,100,-0.878,-0.07,1.871,1.662,-1.293,-0.158,62.314,207.898,-46.527,-84.742,243.569,-197.038,41.78,40.41,29.8,38.21,34.64,43.84,64.15,52.51,68.29,72.92,39.99,86.65,2,2,23/2/2026 12:37
75,5,36.35,36.25,89,83,98,100,-1.583,1.18,0.983,-0.376,0.646,-1.444,-74.77,-74.081,153.255,171.912,8.874,217.188,21.12,40.97,45.03,62.65,70.58,53.74,27.9,33.8,21.64,71.86,31.41,18.28,2,2,23/2/2026 12:38
76,6,37.42,36.11,71,76,99,96,-0.904,1.336,0.616,-1.567,-0.992,-1.695,-67.708,59.822,137.944,217.625,232.944,-86.591,44.36,75.34,56.96,31.6,56.41,22.85,48.66,13.15,41.94,88.84,30.85,65.57,2,2,23/2/2026 12:39
77,6,36.11,37.11,76,66,98,99,0.721,1.01,-0.709,0.668,-1.218,1.34,114.598,23.958,-193.957,-81.202,-46.166,-190.112,33.55,26.23,49.37,25.15,60.69,63.96,44.62,77.45,82.89,28.82,28.95,29.51,2,2,23/2/2026 12:40
78,6,37.1,36.67,65,90,97,97,1.258,1.265,1.556,-0.937,-1.225,1.738,121.354,-215.851,50.288,-170.827,-11.592,76.587,39.58,21.99,89.05,40.67,30.02,75.21,55.32,49.87,88.26,31.29,50.66,66.32,2,2,23/2/2026 12:41
79,6,35.9,36.98,69,82,97,98,0.346,1.969,-1.299,0.343,-1.418,1.687,118.085,107.323,-169.655,230.379,-193.739,-15.839,45.76,57.42,70.77,19.03,78.55,59.54,68.06,86.12,58.66,83.47,28.12,53.62,2,2,23/2/2026 12:42
80,6,36.04,37.26,63,67,94,99,0.125,1.691,0.264,-0.25,-1.391,1.467,59.154,-219.569,-56.317,-169.512,34.11,-4.801,20.81,22.68,22.48,67.42,49.96,59.22,57.94,16.84,20.65,15.13,89.93,53.75,2,2,23/2/2026 12:43
81,6,36.13,36.66,78,92,96,96,0.532,0.141,-0.667,-0.98,0.412,-1.691,-58.955,184.991,60.717,-153.656,102.984,-182.466,85.44,75.79,33.38,74.45,72.38,37.41,34.61,83.86,35.84,53.17,32.39,48.01,2,2,23/2/2026 12:44
82,6,37.27,35.85,94,64,99,97,-0.835,1.212,1.682,0.706,1.369,1.04,224.274,-172.125,-145.095,-117.868,-217.084,-89.657,20.21,56.68,86.91,60.36,81.85,29.25,50.82,41.32,22.62,40.11,16.79,59.76,2,2,23/2/2026 12:45
83,6,36.01,36.44,80,69,98,100,-1.276,1.183,-0.432,1.51,-0.137,1.349,-116.111,-55.394,207.777,141.196,170.074,185.525,72.97,75.86,46.41,34.33,30.04,58.34,66.25,26.56,14.18,77.85,85.02,31.56,2,2,23/2/2026 12:46
84,6,35.9,36.62,86,102,98,96,0.514,-1.681,1.871,-1.343,0.052,-0.425,92.066,24.251,-175.382,227.487,65.735,-162.226,51.2,59.8,38.93,38.67,36.18,35.32,48.45,38.72,87.02,50.36,53.65,11.33,2,2,23/2/2026 12:47
85,6,35.61,36.46,61,73,94,100,-0.498,0.548,-1.623,-0.936,-0.033,0.9,220.418,21.713,-153.021,248.779,12.733,108.859,58.72,56.69,36.01,11.92,66.7,73.46,55.06,17.28,57.87,60.99,70.89,26.4,2,2,23/2/2026 12:48
86,6,36.65,35.59,109,92,100,96,-0.765,-1.197,-1.087,0.467,-1.678,1.42,-76.562,38.124,-227.636,-102.337,45.014,-110.96,10.56,19.61,23.33,84.87,12.31,80.56,62.27,63.66,48.18,57.01,23.69,66.63,2,2,23/2/2026 12:49
87,6,37.47,36.9,94,93,94,98,0.244,1.003,0.473,-0.258,-0.451,1.842,-15.853,-199.9,-170.516,-215.838,9.233,-135.94,15.83,70.64,20.39,72.66,84.29,76.56,79.95,18.95,51.87,15.91,24.26,15.21,2,2,23/2/2026 12:50
88,6,36.32,35.65,108,108,100,99,0.762,-1.666,-1.308,0.216,-1.787,-0.457,58.406,16.796,-9.553,-205.69,-179.034,165.839,84.16,88.47,34.72,79.95,87.9,68.72,75.25,57.63,81.51,55.45,59.95,29.18,2,3,23/2/2026 12:51
89,6,35.89,35.79,83,80,99,98,-1.145,1.246,0.186,1.904,-1.988,-0.624,-61.205,145.377,-119.878,-22.691,-8.428,-242.496,54.89,81.24,45.25,40.64,15.59,56.21,26.7,82.92,38.33,13.86,53.46,78.02,2,2,23/2/2026 12:52
90,6,36.43,36.98,110,94,99,98,0.009,-0.392,1.134,1.582,-0.095,-0.281,-135.157,-71.748,10.777,248.835,-63.916,-134.331,44.19,49.5,12.68,13.53,52.63,43.16,25.27,25.04,44.98,24.14,36.56,20.05,2,2,23/2/2026 12:53
91,7,36.87,35.7,95,93,94,97,-1.59,0.312,-0.279,-0.213,0.929,-1.219,70.595,3.469,-100.047,-18.179,-13.864,-126.998,69.15,35.23,71.21,78.33,18.83,59.46,48.94,16.13,62.17,36.68,29.14,56.58,2,2,23/2/2026 12:54
92,7,36.34,35.75,99,62,94,94,-0.824,0.803,0.984,1.22,0.065,1.195,51.179,-189.593,-46.875,216.944,137.286,-11.51,26.17,10.61,60.85,46.26,58.86,31.72,19.57,63.51,65.91,64.33,54.36,84.59,2,2,23/2/2026 12:55
93,7,36.26,37.12,88,95,96,100,1.102,-0.312,-0.103,0.126,-1.192,0.889,-79.71,-168.726,143.757,-116.814,130.393,-75.277,16.58,64.9,20.37,79.09,84.21,85.54,62.62,83.12,22.73,56.57,64.67,80.9,2,3,23/2/2026 12:56
94,7,36.24,37.17,87,90,94,95,-0.573,0.398,-1.398,-0.255,0.347,1.665,116.182,-172.372,-199.957,-225.062,-228.605,-24.285,53.52,86.51,30.26,55.53,43.09,65.59,89.12,23.95,27,61.23,82.79,84.14,2,2,23/2/2026 12:57
95,7,36.46,35.76,94,105,95,96,-0.158,-1.195,-0.31,0.357,-1.328,1.21,64.599,-236.063,-35.3,-25.165,109.353,-70.91,23.34,42.53,67.49,77.27,62.32,16.65,58.09,38.49,60.18,53.48,13.36,33.62,2,2,23/2/2026 12:58
96,7,36.31,35.7,86,93,97,95,-0.789,-0.655,-1.217,1.018,-1.908,0.057,-185.363,-102.298,139.491,103.29,-37.803,93.792,50.49,21.95,17.4,20.88,63.22,34.32,38.27,62.52,68.88,62.06,11.52,39.84,2,2,23/2/2026 12:59
97,7,37.13,35.91,85,101,94,98,1.354,-1.165,0.509,-0.759,1.152,1.109,-43.108,-186.523,-246.156,-56.429,-25.356,-173.99,45.29,57.15,25.17,21.8,80.3,52.22,79.31,17.5,56.55,61.32,60.8,11.88,2,2,23/2/2026 13:00
98,7,36.56,35.62,84,94,96,96,-1.167,-1.798,0.413,-0.538,1.549,-0.642,-117.553,-53.59,80.336,186.354,-231.159,-75.683,65.65,25.82,76.89,67.21,46.93,72.2,36.27,13.83,59.4,24.68,25.27,21.16,2,2,23/2/2026 13:01
